ID,Category,Icon
CAT001,HERRAMIENTAS,Categories_Images/CAT001.Icon.193950.jpg
CAT002,INSUMOS,Categories_Images/CAT002.Icon.194050.jpg
CAT003,REFACCIONES,Categories_Images/CAT003.Icon.194106.jpg
CAT004,NEUMATICA,Categories_Images/CAT004.Icon.213535.jpg
CAT005,HIDRAULICA,Categories_Images/CAT005.Icon.194036.jpg
CAT006,ELECTRICO,Categories_Images/CAT006.Icon.194121.jpg
e4249c50,HERRERIA,Categories_Images/e4249c50.Icon.194021.jpg
84388e9b,INSTRUMENTACION,Categories_Images/84388e9b.Icon.212554.jpg
CAT007,PLOMERIA,Categories_Images/CAT007.Icon.213932.png
CAT008,SELLOS & EMPAQUES,Categories_Images/CAT008.Icon.150828.png
CAT009,RODAMIENTOS,Categories_Images/CAT009.Icon.150836.png
CAT010,TORNILLERIA,Categories_Images/CAT010.Icon.150844.jpg
db498a61,ACTIVOS,Categories_Images/db498a61.Icon.150851.jpg
