Item ID,Name,Description,Image,Category,Vendor,Purchase Cost,Sale Price,Location,Stock,Minimum Inventory,¿Discontinued?,UOM
MTTO-0001,"SOLERA 1"" X ¼"" X 6MTS",USO GENERAL DE HERRERIA,Items_Images/MTTO-0001.Image.163526.png,e4249c50,3900dab9,$1.00,$260.00,7066317f,0,1,FALSE,PIEZAS
MTTO-0002,FILTRO ACEITE B252 BALDWIN,FILTRO DE ACEITE PARA BOMBAS DE VACIO DE PALETAS ROTATIVAS,Items_Images/MTTO-0002.Image.071009.jpg,CAT002,804de554,,,LOC0021,35,1,FALSE,PIEZAS
MTTO-0003,ACEITE TRANSMISION ISO 220,ACEITE PARA TRANSMISION PRINCIPAL Y ENGRANAJES,Items_Images/MTTO-0003.Image.190453.jpg,CAT002,,,,26813a72,806,1,FALSE,LITROS
MTTO-0004,ACEITE MOLYKOTE L-1668 FM,ACEITE USADO PARA LAS BOMBAS DE VACIO DE PALETAS ROTATIVAS,Items_Images/MTTO-0004.Image.171041.jpg,CAT002,,,,26813a72,0,2,TRUE,LITROS
MTTO-0005,"MATRACA INALÁMBRICA DEWALT DE 12V, 1/4 PULG SIN BATERIA",MATRACA INALAMBRICA,Items_Images/MTTO-0005.Image.210151.png,CAT001,PROV001,,,84e30ac4,1,1,FALSE,PIEZAS
MTTO-0006,"DISCO CORTE PARA METAL DE 4 1/2""",DISCO PARA ESMERILADORA ANGULAR,Items_Images/MTTO-0006.Image.223407.jpg,CAT002,PROV001,$14.95,,LOC0120,23,1,FALSE,PIEZAS
MTTO-0007,"DISCO DESBASTE PARA METAL 4 1/2""",DISCO PARA ESMERILADORA ANGULAR,Items_Images/MTTO-0007.Image.223602.jpg,CAT002,PROV001,,,LOC0120,5,1,FALSE,PIEZAS
MTTO-0008,DADO PARA EXTRUSOR USADO,DADO ESTRUSOR,,,,,,,0,1,FALSE,PIEZAS
MTTO-0009,"VALVULA DE BOLA 1"" CON ACTUADOR NEUMATICO SIMPLE EFECTO RETORNO CON MUELLE, G1/4",VALVULA CON ACTUADOR NEUMATICO 1”,Items_Images/MTTO-0009.Image.213608.jpg,CAT004,,,,LOC0082,2,1,FALSE,PIEZAS
MTTO-0010,"VALVULA DE BOLA 1/2"" CON ACTUADOR NEUMATICO DOBLE EFECTO, G1/4","VALVULA DE BOLA 1/2"" CON ACTUADOR NEUMATICO DOBLE EFECTO",Items_Images/MTTO-0010.Image.213844.jpg,CAT004,,,,LOC0082,1,1,FALSE,PIEZAS
MTTO-0011,"TORNILLO HEXAGONAL M16 X 55MM, PASO 2.0, PAVONADO",TORNILLO USO GENERAL,Items_Images/MTTO-0011.Image.163650.png,CAT010,fc5645e9,,,LOC0044,3,1,FALSE,PIEZAS
MTTO-0012,PISTON NEUMATICO PARA COMPUERTA ALIMENTADORES,PISTON PARA COMPUERTA DE ALIMENTADORES,Items_Images/MTTO-0012.Image.214130.jpg,CAT004,,,,LOC0082,2,2,FALSE,PIEZAS
MTTO-0013,ELIMINADOR DE 9VDC,CONVIERTE CORRIENTE ALTARNA,Items_Images/MTTO-0013.Image.165410.png,CAT006,,,,,0,1,FALSE,PIEZAS
MTTO-0014,INTERRUPTOR TERMOMAGNETICO RIEL DIN 20AMP 2 FASES,INTERRUPTOR TERMOMAGNETICO,Items_Images/MTTO-0014.Image.191848.jpg,CAT006,1ce673ed,,,LOC0064,0,1,FALSE,PIEZAS
MTTO-0015,BOMBA DE ANILLO LIQUIDO GRANDE,BOMBA DE ANILLO G,,CAT003,,,,,0,1,FALSE,PIEZAS
MTTO-0016,BOMBA DE PALETA ROTATIVA,BOMBA ROTATIVA,,CAT003,,,,,0,1,FALSE,PIEZAS
MTTO-0017,"RELEVADOR ESTADO SOLIDO 20AMP 1POLO, 3-32VDC.",RELEVADOR SOLIDO 1 POLO,Items_Images/MTTO-0017.Image.151901.jpg,CAT006,1ce673ed,,,LOC0058,5,1,FALSE,PIEZAS
MTTO-0018,"LAMINA EMPAQUE DE GRAFITO, 60"" X 60""",EMPAQUE PARA ACOPLAMIENTO DE SECCIONES DE CANON,Items_Images/MTTO-0018.Image.142122.png,CAT008,e0a455a9,"$9,999.20",,7066317f,2,1,FALSE,METROS
MTTO-0019,BALERO HK 1816B,BALERO HK,Items_Images/MTTO-0019.Image.220332.jpg,CAT009,e0a455a9,,,LOC0022,3,1,FALSE,PIEZAS
MTTO-0020,CABLE UNIPOLAR NEGRO CALIBRE 10AWG,CABLE UNIPOLAR NEGRO CALIBRE 10AWG,Items_Images/MTTO-0020.Image.144245.jpg,CAT006,,,,LOC0069,72,1,FALSE,METROS
MTTO-0021,CINTA MOMIA PARA TUBERIA DE AIRE ACONDICIONADO,CINTA DECORATIVA PARA TUBERIA DE AIRES ACONDICIONADOS,Items_Images/MTTO-0021.Image.141549.png,CAT002,PROV001,,,LOC0093,8,1,FALSE,PIEZAS
MTTO-0022,"INTERRUPTOR TERMOMAGNETICO 200A, 3 FASES, DS1250-200",INTERRUPTOR TERMOMAGNETICO,Items_Images/MTTO-0022.Image.192108.jpg,CAT006,1ce673ed,,,LOC0063,1,1,FALSE,PIEZAS
MTTO-0023,PERNO M5 X 60MM PARA SEGUROS DE TINAS TURBINAS ALIMENTACION,PERNO M5 X 60MM,,,,,,,0,1,FALSE,PIEZAS
MTTO-0024,"BROCA ALTA VELOCIDAD 3/4"" ENTRADA DE 1/2""",BROCA USO GENERAL,Items_Images/MTTO-0024.Image.135253.png,CAT001,PROV001,,,c44b408e,2,1,FALSE,PIEZAS
MTTO-0025,CONECTOR RAPIDO NEUMATICO RECTO DE 8MM,CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0025.Image.214054.png,CAT004,2c6c8db2,,,LOC0083,20,1,FALSE,PIEZAS
MTTO-0026,"BROCA ALTA VELOCIDAD 15/16"" ENTRADA DE 1/2""",BROCA 15/16,Items_Images/MTTO-0026.Image.140252.png,CAT001,PROV001,,,c44b408e,1,1,FALSE,PIEZAS
MTTO-0027,"BROCA ALTA VELOCIDAD 7/8"" ENTRADAD DE 1/2""",BROCA 7/8,Items_Images/MTTO-0027.Image.010555.jpg,CAT001,PROV001,,,c44b408e,2,1,FALSE,PIEZAS
MTTO-0028,"BROCA ALTA VELOCIDAD 5/8"" ENTRADA DE 1/2""",BROCA USO GENERAL,Items_Images/MTTO-0028.Image.135007.png,CAT001,PROV001,,,c44b408e,3,1,FALSE,PIEZAS
MTTO-0029,"BROCA ALTA VELOCIDAD 1/2"" ENTRADA DE 1/2""",BROCA 1/2,Items_Images/MTTO-0029.Image.135456.png,CAT001,PROV001,,,c44b408e,1,1,FALSE,PIEZAS
MTTO-0030,"MACHUELO M24, PASO 3.0 RECTO",MACHUELO RECTO,Items_Images/MTTO-0030.Image.205425.jpg,CAT001,PROV001,,,LOC0120,3,1,FALSE,PIEZAS
MTTO-0031,"ABRAZADERA DE PERNOS PARA TUBOS (COMPLES MORRIS) 2 1/2""",ABRAZADERAS PARA LOS TUBOS INOXIDABLES DE LAS TURBINAS DE ALIMENTACION.,Items_Images/MTTO-0031.Image.145910.png,CAT003,a5eff119,"$1,525.13",,7066317f,0,1,FALSE,PIEZAS
MTTO-0032,"JUEGO DE CLAVIJAS PARA TERMOPARES, MACHO Y HEMBRA",JUEGO DE CLAVIJAS,Items_Images/MTTO-0032.Image.165015.png,CAT006,,,,LOC0071,1,1,FALSE,PIEZAS
MTTO-0033,TERMINAL ZAPATA CAL. 1/0 OJILLO DE 12MM,TERMINAL ZAPATA 12MM,Items_Images/MTTO-0033.Image.152126.png,CAT002,,,,LOC0094,28,1,FALSE,PIEZAS
MTTO-0034,"BISAGRA TUBULAR SOLDABLE 3/8"" X 1 7/8""",BISAGRA TOBULAR 3/8,Items_Images/MTTO-0034.Image.214848.png,CAT003,PROV001,,,LOC0046,2,1,FALSE,PIEZAS
MTTO-0035,"CONECTOR RAPIDO NEUMATICO 1/8"" NPT, 90°, A MANGUERA DE 12MM",CONECTOR RAPIDO 90° 1/8,Items_Images/MTTO-0035.Image.214654.jpg,CAT004,2c6c8db2,,,LOC0083,5,1,FALSE,PIEZAS
MTTO-0036,FUSIBLES DE CRISTAL FAME 10 AMP,FUSIBLE FAME,Items_Images/MTTO-0036.Image.162013.jpg,CAT006,,,,LOC0094,3,1,FALSE,PIEZAS
MTTO-0037,FUSIBLES DE CRISTAL FAME 2 AMP,FUSIBLE FAME,Items_Images/MTTO-0037.Image.162223.jpg,CAT006,,,,LOC0094,3,1,FALSE,PIEZAS
MTTO-0038,FUSIBLES DE CRISTAL FEUR 2 AMP,FUSIBLE FEUR,Items_Images/MTTO-0038.Image.175826.png,CAT006,,,,LOC0094,6,1,FALSE,PIEZAS
MTTO-0039,FUSIBLES DE CRISTAL FEUR 0.5 AMP,FUSIBLE FEUR,Items_Images/MTTO-0039.Image.175258.png,CAT006,,,,LOC0094,7,1,FALSE,PIEZAS
MTTO-0040,FUSIBLES DE CRISTAL FEUR 1 AMP,FUSIBLE FEUR,Items_Images/MTTO-0040.Image.175555.png,CAT006,,,,LOC0094,5,1,FALSE,PIEZAS
MTTO-0041,FUSIBLES DE CRISTAL FEUR 3 AMP,FUSIBLE FEUR,Items_Images/MTTO-0041.Image.180049.png,CAT006,,,,LOC0094,1,1,FALSE,PIEZAS
MTTO-0042,"FUNDA DE CABLE TRENZADO NEGRO EXTENSIBLE 1/2""",FUNDA DE CLABLE,Items_Images/MTTO-0042.Image.204419.png,CAT002,,,,,0,1,FALSE,PIEZAS
MTTO-0043,FUSIBLES DE CRISTAL FEUR 6.3 AMP,FUSIBLE FEUR,Items_Images/MTTO-0043.Image.180156.png,CAT006,,,,LOC0094,10,1,FALSE,PIEZAS
MTTO-0044,"CONECTOR RAPIDO NEUMATICO RECTO MACHO 3/8"" NPT A MANGUERA 8MM",CONECTOR RAPIDO PARA MANGUERA NEUMATICA,Items_Images/MTTO-0044.Image.214837.jpg,CAT004,2c6c8db2,,,LOC0083,36,1,FALSE,PIEZAS
MTTO-0045,"CONECTOR RAPIDO NEUMATICO 1/4"" NPT, 90°, A MANGUERA DE 12MM",CONECTOR RAPIDO 1/4 90°,Items_Images/MTTO-0045.Image.215022.jpg,CAT004,2c6c8db2,,,LOC0083,8,1,FALSE,PIEZAS
MTTO-0046,"CONECTOR RAPIDO NEUMATICO RECTO MACHO 1/4"" NPT A MANGUERA 10MM",CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0046.Image.140251.png,CAT004,2c6c8db2,,,LOC0083,16,1,FALSE,PIEZAS
MTTO-0047,"CONECTOR RAPIDO NEUMATICO RECTO MACHO 3/8"" NPT A MANGUERA 12MM",CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0047.Image.215501.jpg,CAT004,2c6c8db2,,,LOC0083,11,1,FALSE,PIEZAS
MTTO-0048,CONECTOR RAPIDO NEUMATICO RECTO DE 6MM,CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0048.Image.214035.png,CAT004,2c6c8db2,,,LOC0083,14,1,FALSE,PIEZAS
MTTO-0049,"CONTACTO AUXILIAR SIEMENS 3RH2911-1FA22, 2NO-2NC",CONTACTO AUXILIAR 1FA22 2NO-2NC,Items_Images/MTTO-0049.Image.214414.jpg,CAT006,1ce673ed,,,LOC0076,2,1,FALSE,PIEZAS
MTTO-0050,"REGULADOR DE CAUDAL NEUMATICO CKD, SC3W-8-8",REFACCIÓN NEUMATICA PARA PISTONES,Items_Images/MTTO-0050.Image.151122.png,CAT004,2c6c8db2,,,LOC0082,0,1,FALSE,PIEZAS
MTTO-0051,"CONECTOR RAPIDO NEUMATICO RECTO MACHO 1/4"" NPT A MANGUERA 6MM",CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0051.Image.190951.png,CAT004,2c6c8db2,,,LOC0083,1,1,FALSE,PIEZAS
MTTO-0052,CONECTOR RAPIDO NEUMATICO EN YEE DE 8MM,CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0052.Image.215138.png,CAT004,2c6c8db2,$77.24,,LOC0083,11,1,FALSE,PIEZAS
MTTO-0053,"BISAGRA TUBULAR SOLDABLE 5/8"" X 2 5/8""",BISAGRA TOBULAR 5/8,Items_Images/MTTO-0053.Image.214809.png,CAT003,PROV001,,,LOC0046,0,1,FALSE,PIEZAS
